epoch,accurecy_train,loss_avg_train,f1Score_train,accurecy_val,loss_avg_val,f1Score_val
1,24.30,1.94,0.20,36.61,1.65,0.31
2,61.57,1.13,0.61,60.85,1.08,0.60
3,82.20,0.55,0.82,65.40,1.02,0.65
4,92.43,0.26,0.92,66.74,1.07,0.66
5,95.59,0.16,0.96,62.94,1.28,0.63
6,97.82,0.09,0.98,64.73,1.25,0.64
7,97.96,0.08,0.98,68.23,1.12,0.68
8,98.79,0.05,0.99,69.72,1.06,0.70
9,99.54,0.03,1.00,69.80,1.06,0.70
10,99.58,0.03,1.00,69.50,1.11,0.69
11,99.35,0.03,0.99,69.05,1.12,0.69
12,99.72,0.02,1.00,69.80,1.13,0.70
13,99.72,0.02,1.00,70.17,1.09,0.70
14,99.91,0.02,1.00,69.43,1.09,0.69
15,99.91,0.02,1.00,69.65,1.11,0.70
16,99.91,0.02,1.00,69.65,1.10,0.70
17,99.77,0.02,1.00,69.87,1.12,0.70
18,99.86,0.02,1.00,69.43,1.12,0.69
19,99.86,0.02,1.00,69.05,1.13,0.69
20,99.81,0.02,1.00,69.05,1.12,0.69
